year,Zip Code,ZHVI_AllHomes
2016,78738,515550.0
2016,78739,422591.67
2016,78741,177433.33
2016,78744,164308.33
2016,78745,253033.33
2016,78746,869716.67
2016,78748,242100.0
2016,78749,315800.0
2016,78751,398283.33
2016,78752,268475.0
2016,78753,192108.33
2016,78756,458066.67
2016,78757,378691.67
2016,78758,218191.67
2016,78759,402408.33
2017,78610,237550.0
2017,78613,272958.33
2017,78617,171641.67
2017,78641,222066.67
2017,78664,199175.0
2017,78681,277583.33
2017,78701,454716.67
2017,78702,361908.33
2017,78703,778716.67
2017,78704,516000.0
2017,78717,333658.33
2017,78721,261150.0
2017,78722,402716.67
2017,78723,341583.33
2017,78725,162983.33
2017,78726,441141.67
2017,78727,299741.67
2017,78728,251150.0
2017,78729,272416.67
2017,78731,633691.67
2017,78733,667191.67
2017,78735,462808.33
2017,78736,330700.0
2017,78738,533083.33
2017,78739,445733.33
2017,78741,198308.33
2017,78744,177791.67
2017,78745,275558.33
2017,78746,941850.0
2017,78748,258391.67
2017,78749,335716.67
2017,78751,420208.33
2017,78752,288616.67
2017,78753,215291.67
2017,78756,499433.33
2017,78757,395825.0
2017,78758,237650.0
2017,78759,416758.33
